film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,1,NULL,3,2.99,169,17.99,PG,"Deleted Scenes","2006-02-15 05:03:42"
16,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",2006,1,NULL,6,2.99,180,23.99,NC-17,"Trailers,Commentaries","2006-02-15 05:03:42"
25,"ANGELS LIFE","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",2006,1,NULL,3,2.99,74,15.99,G,Trailers,"2006-02-15 05:03:42"
42,"ARTIST COLDBLOODED","A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California",2006,1,NULL,5,2.99,170,10.99,NC-17,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
61,"BEAUTY GREASE","A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft",2006,1,NULL,5,4.99,175,28.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
63,"BEDAZZLED MARRIED","A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House",2006,1,NULL,6,0.99,73,21.99,PG,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
81,"BLINDNESS GUN","A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat",2006,1,NULL,6,4.99,103,29.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
85,"BONNIE HOLOCAUST","A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan",2006,1,NULL,4,0.99,63,29.99,G,"Deleted Scenes","2006-02-15 05:03:42"
97,"BRIDE INTRIGUE","A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans",2006,1,NULL,7,0.99,56,24.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
111,"CADDYSHACK JEDI","A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia",2006,1,NULL,3,0.99,52,17.99,NC-17,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
113,"CALIFORNIA BIRDS","A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India",2006,1,NULL,4,4.99,75,19.99,NC-17,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
115,"CAMPUS REMEMBER","A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat",2006,1,NULL,5,2.99,167,27.99,R,"Behind the Scenes","2006-02-15 05:03:42"
